정반_코드,호선_코드,블록,단위블록_CODE,공종_명칭,stage_코드,선종_코드,취부팀_코드,용접팀_코드,착수계획,완료계획,계획공기,후버퍼_보정,착수실적,완료실적,실적공기,H00,H01,H02,W,B,L,H,A
M212,TK010,E82P0,11A0,대조중조,S031,TK,B02,B02,2024-04-08,2024-04-16,6,0,2024-04-08,2024-04-16,6,0,448,502,0,10.5,18.5,7.5,194.2
M023,TK010,E21P0,11A0,Final조립,S022,TK,B04,B04,2024-04-12,2024-04-24,9,2,2024-04-12,2024-04-24,9,0,266,151,35,6.5,14.5,7.5,94.2
M010,TK010,F51P0,05A1,판계,XXX,TK,A11,A11,2024-04-12,2024-04-16,3,2,2024-04-13,2024-04-16,3,24,135,0,0,17.5,14.0,6.0,245.0
M010,TK010,F51S0,05A1,판계,XXX,TK,A11,A11,2024-04-12,2024-04-16,3,2,2024-04-13,2024-04-16,3,23,136,0,0,17.5,14.0,6.0,245.0
M011,TK010,A21P0,11A0,곡중조,S021,TK,B07,B07,2024-04-15,2024-04-23,7,15,2024-04-13,2024-04-23,8,0,279,321,0,10.5,13.0,9.0,136.5
M011,TK010,A21S0,11A0,곡중조,S021,TK,B07,B07,2024-04-15,2024-04-23,7,9,2024-04-13,2024-04-23,8,0,252,294,0,10.5,13.0,9.0,136.5
M023,TK010,E21S0,11A0,Final조립,S022,TK,B04,B04,2024-04-15,2024-04-24,8,2,2024-04-12,2024-04-24,9,0,246,142,30,6.5,14.5,7.5,94.2
M210,TK010,E81S0,03A0,Final조립,S032,TK,B02,B02,2024-04-16,2024-04-23,6,2,2024-04-16,2024-04-23,6,0,350,358,127,12.5,15.0,3.0,187.5
M010,TK010,S13P0,03A1,판계,XXX,TK,A11,A11,2024-04-17,2024-04-19,3,1,2024-04-17,2024-04-19,3,6,38,106,0,4.5,17.5,8.5,78.7
M010,TK010,S13S0,03A1,판계,XXX,TK,A11,A11,2024-04-17,2024-04-19,3,2,2024-04-17,2024-04-19,3,6,38,106,0,4.5,17.5,8.5,78.7
M222,TK010,F12P0,11B0,곡중조,S021,TK,B09,B09,2024-04-19,2024-05-02,9,0,2024-04-18,2024-05-02,10,0,102,148,0,9.0,10.0,5.5,90.0
M112,TK010,E82S0,05A0,Final조립,S032,TK,B03,B03,2024-04-20,2024-04-30,8,2,2024-04-20,2024-04-30,8,0,969,1011,117,18.5,16.5,7.5,305.2
M221,TK010,F12S0,11A0,곡중조,S021,TK,B09,B09,2024-04-22,2024-05-02,8,0,2024-04-22,2024-05-03,9,0,271,308,0,9.5,13.5,5.5,128.2
M023,TK010,F41P0,11A0,곡중조,S021,TK,B04,B04,2024-04-22,2024-04-30,7,1,2024-04-22,2024-04-30,7,0,293,341,0,6.0,18.0,5.5,108.0
M222,TK010,S13P0,03B0,곡중조,S021,TK,B09,B09,2024-04-22,2024-05-02,8,0,2024-04-22,2024-05-02,8,0,402,444,0,6.5,17.5,8.5,113.7
M024,TK010,A21S0,11B0,곡중조,S021,TK,B04,B04,2024-04-23,2024-05-02,7,3,2024-04-22,2024-05-02,8,0,421,494,0,14.0,12.0,9.0,168.0
M021,TK010,E52S0,11A0,곡중조,S021,TK,B04,B04,2024-04-26,2024-05-07,6,6,2024-04-26,2024-05-07,6,0,324,370,0,7.0,17.5,7.5,122.5
M010,TK010,F12S0,05A1,판계,XXX,TK,A11,A11,2024-04-26,2024-04-30,3,1,2024-04-26,2024-04-29,2,11,67,278,0,14.0,17.0,5.5,238.0
M022,TK010,F41S0,11A0,곡중조,S021,TK,A01,A02,2024-04-26,2024-05-07,6,0,2024-04-26,2024-05-07,6,109,293,341,0,6.0,19.5,5.5,117.0
M010,TK010,A21S0,05A1,판계,XXX,TK,A11,A11,2024-04-27,2024-05-02,4,3,2024-04-27,2024-04-30,3,12,66,211,0,12.0,16.5,9.0,198.0
